city,artist,venue,weekend,pop,month,score,genre,minprice
Woodlands,Bad Wolves,The Cynthia Woods Mitchell Pavilion presented by Huntsman,0,???,8,68,Metal,30.0
Chula Vista,Bad Wolves,Mattress Firm Amphitheatre (Formerly Sleep Train Amphitheatre),0,256780,7,68,Metal,30.0
Albuquerque,Bad Wolves,Isleta Amphitheater,1,556495,7,68,Metal,30.0
Mountain View,Ty Dolla $ign,Shoreline Amphitheatre,1,77846,7,92,Hip-Hop/Rap,29.5
Syracuse,Luke Bryan,St. Josephäó»s Health Amphitheater at Lakeview,0,144669,8,79,Country,38.0
Irvine,Bad Wolves,FivePoint Amphitheatre,0,236716,7,68,Metal,40.0
Atlanta,Godsmack,Cellairis Amphitheatre at Lakewood,0,447841,8,71,Rock,34.0
Darien Center,Bad Wolves,Darien Lake Amphitheater,1,???,9,68,Rock,30.0
Edmonton,Grey,Commonwealth Stadium / Stade du Commonwealth,1,???,11,82,Football,103.95
Tulsa,Metallica,BOK Center,0,398121,1,82,Metal,62.0
Fresno,Metallica,Save Mart Center,1,509924,12,82,Metal,62.0
Noblesville,Bad Wolves,Ruoff Home Mortgage Music Center,0,56540,8,68,Rock,29.0
Boston,Janelle Monae,Blue Hills Bank Pavilion,1,645966,7,76,R&B,44.5
Austin,Bad Wolves,Austin360 Amphitheater,0,885400,8,68,Metal,30.0
Mansfield,Chris Brown,Xfinity Center,0,60872,7,90,R&B,25.0
Noblesville,Chris Brown,Ruoff Home Mortgage Music Center,0,56540,7,90,R&B,24.0
Brooklyn,Chris Brown,Barclays Center,1,78373,7,90,R&B,61.0
Irvine,Luke Combs,FivePoint Amphitheatre,1,236716,9,79,Country,55.5
Cincinnati,Chris Brown,Riverbend Music Center,0,297517,7,90,R&B,16.0
